rijec,klasa
umiješamo,0
prestrašena,0
boat,1
obrađivani,0
izraženijih,0
ubilježivši,0
afterpartyja,1
cookhouse,1
funky,1
trodnevnica,0
mesijanstvo,0
odrekavši,0
dreams,1
flight,1
dollar,1
minici,0
paritetnu,0
live,1
attachment,1
result,1
pole-position,1
toniranim,0
opstajao,0
funk,1
stretcher,1
luxury,1
re-break,1
sportive,1
raft,1
petljom,0
kajkavac,0
asketska,0
mission,1
banjo,1
lad,1
selile,0
investigation,1
advisor,1
experts,1
driving,1
snjegovi,0
continuous,1
meat,1
pray,1
told,1
objavljivanjima,0
predvodi,0
manjinaca,0
dlakavac,0
predvode,0
bloody,1
udovaca,0
butternut,1
vrijednoj,0
belt,1
later,1
commission,1
metodološkog,0
kontuzija,0
pivskoj,0
density,1
posttraumatske,0
serigrafije,0
rush,1
pretpostavljate,0
failure,1
odobravajuće,0
munju,0
petnaesti,0
button,1
kolodvori,0
export,1
prometnije,0
vrludanju,0
cello,1
courthouse,1
odgođenog,0
firm,1
supružnice,0
bermudama,0
province,1
časnice,0
nepredvidivom,0
rupture,1
palmine,0
zaprijećene,0
plinofikaciji,0
ustrojstvom,0
seminarskim,0
plays,1
weekly,1
wind,1
superior,1
zastajkivao,0
namažemo,0
aktiviralo,0
high,1
squeeze,1
katalizatorima,0
shower,1
geometrijski,0
workrest,1
lost,1
polisaharide,0
percussion,1
bodybuilderi,1
popapri,0
zla,0
krvarenja,0
mourning,1
door,1
poslovnicima,0
march,1
jje,0
entourage,1
happening,1
izraleska,0
izrađenima,0
zlaćani,0
reaches,1
native,1
dogi,0
concierge,1
snap,1
record,1
diamond,1
najprivatniji,0
reserve,1
whirpool,1
bijah,0
gap,1
transition,1
preminuloj,0
obrukati,0
industrijaliziranih,0
dimenzijski,0
fair-play,1
landmark,1
websiteu,1
drugačije,0
once,1
luck,1
by-pass,1
cycling,1
riding,1
samoprozvanog,0
weight,1
rocher,1
obrijala,0
slijedova,0
primatu,0
infocentar,0
snowboard,1
obeshrabruju,0
zabijeli,0
encourage,1
supotpisuje,0
cyberpunk,1
private,1
shits,1
pretty,1
shut,1
representation,1
vojno-industrijskom,0
bass,1
promise,1
ubrzali,0
chef,1
command,1
paragon,1
offensive,1
omotaju,0
uličari,0
church,1
sister,1
yolo,1
najbrojniji,0
santi,0
vlaženje,0
uplašilo,0
neviđeni,0
ajurveda,0
najimućniji,0
auto-kampu,0
namaču,0
datumski,0
opremili,0
zatezna,0
entity,1
dokučiva,0
četvrtoplasirana,0
obespravljenom,0
fade,1
touring,1
quest,1
zupčanik,0
ljuskicu,0
žustrom,0
nedjelo,0
interactive,1
rasvjetlila,0
nareska,0
dishes,1
please,1
konditorskim,0
celebrating,1
ljetujem,0
corpora,1
opravdanima,0
nepravednom,0
drum,1
reaction,1
expression,1
main,1
kokurenciji,0
neoznačena,0
tegljenju,0
kompleksan,0
orkestracije,0
basilicas,1
watched,1
nepojmljiva,0
podrućju,0
hailed,1
pretjecali,0
broadcaster,1
domaćinstva,0
trial,1
prštati,0
krvavica,0
aramejskog,0
neiskorištenog,0
firefighters,1
regret,1
sentiment,1
scraping,1
konferenciju,0
šamponi,0
nebrojeno,0
šljamu,0
beefsteak,1
search,1
boomerang,1
pokretačima,0
mračne,0
rocker,1
powerpoint,1
njemačko-turskog,0
boot,1
kraškog,0
cheer,1
livanjskih,0
downsizing,1
adaptirale,0
newspaper,1
yours,1
zalijemo,0
zakletog,0
setting,1
povlaštenih,0
hanging,1
antique,1
dark,1
bas-gitare,0
kamfor,0
meeting,1
shouting,1
jednoetažna,0
twerka,1
gorštaka,0
ill,1
zakladu,0
doping-kontrola,0
log,1
financijsko-ekonomskom,0
tight,1
enjoy,1
zasladi,0
qualifier,1
meteorološki,0
agency,1
hard-techno,1
massive,1
then,1
davimo,0
cabinet,1
graničnik,0
along,1
joke,1
hornist,1
vase,1
mnogobrojne,0
oleander,1
big,1
šestercima,0
gayevi,1
welcomed,1
sinkro,0
booth,1
kardiomiopatije,0
flower,1
race,1
skupljenih,0
giving,1
boarding,1
without,1
calypso,1
zagovornica,0
quarterback,1
trokrakom,0
vlasnikovih,0
privikavao,0
outdoor,1
picture,1
dresscode,1
predigne,0
mild,1
firehose,1
nesmotrenoj,0
surovu,0
federalism,1
patchwork,1
farm,1
pobočnicima,0
onion,1
bijelo,0
meant,1
brewery,1
buying,1
defenzivnija,0
entering,1
povrćarstvo,0
otuđivši,0
road,1
abrazivne,0
digestive,1
okinite,0
dostavit,0
dodirnu,0
napastovanje,0
crvuljka,0
aint,1
remontne,0
grape,1
dvoznamenkastu,0
rooming,1
glam,1
razvlačenju,0
domestic,1
avalanche,1
pobjesne,0
lack,1
diving,1
village,1
power,1
stazu,0
slapstick,1
srpanjskog,0
neprohodnim,0
oslabilo,0
burgers,1
nesretnike,0
hiperlipidemije,0
zvižduće,0
neupitnima,0
mash-up,1
recorder,1
kunića,0
nevjernici,0
meal,1
suprotstavljajući,0
zadivite,0
razgaljenim,0
chair,1
collar,1
e-bayu,1
received,1
postulat,0
rigoroznija,0
neslavnoj,0
proof,1
bataljuna,0
masivno,0
store,1
duty,1
fotografijama,0
liliputancima,0
suspense,1
board,1
forget,1
moruzgvu,0
najeminentniji,0
north,1
units,1
familiar,1
windsurfing,1
cheerleader,1
emotional,1
razvozi,0
bait,1
dealing,1
uvukla,0
winners,1
wine,1
movie,1
wikipediju,1
casino,1
lower,1
tough,1
sight,1
ad,1
skeleton,1
nigger,1
concerning,1
accused,1
mismatch,1
nostiti,0
ženstvenoj,0
troublemaker,1
crush,1
vjerojatnijim,0
velvet,1
intention,1
razjedinila,0
kubnih,0
share,1
heritage,1
monstruoznosti,0
songs,1
predračunske,0
crew,1
pripremljenim,0
bregaste,0
counterpart,1
naoružane,0
gateway,1
najskupljim,0
libar,0
najčišćom,0
koproducira,0
suptropski,0
introduciranih,0
zastupljenih,0
winter,1
otključana,0
headset,1
octopus,1
dial-up,1
posložene,0
rađaonicu,0
odvažnijeg,0
napuštena,0
hello,1
scary,1
pank,1
milosrdnom,0
poor,1
amount,1
youtubeu,1
rulja,0
embrace,1
klevetnicima,0
militantniji,0
execution,1
never,1
switch,1
every,1
distancija,0
himne,0
nagnuće,0
intervention,1
neizvjesnostima,0
plant,1
oporu,0
highest,1
damage,1
ostarile,0
sedamdesetak,0
kroatocentričan,0
prefecture,1
track,1
vijećničko,0
kost,0
sablažnjiva,0
rascvjetanog,0
prebukirana,0
paradigme,0
razrješavati,0
dokrajčio,0
tvrđom,0
slavenskih,0
strategic,1
nepovezanim,0
realizacijama,0
peninsula,1
handling,1
category,1
skršilo,0
militarist,1
grudanja,0
teammate,1
context,1
raznježim,0
izgubljenoga,0
hospitality,1
cultural,1
obvious,1
principle,1
konjukcija,0
ostavljenim,0
prijevoznička,0
travnjacima,0
karavan,0
mjanmarske,0
vjenčavši,0
mužjacima,0
optimističkim,0
zaljepljen,0
neugledni,0
buggy,1
cathedral,1
gravity,1
nearby,1
arm,1
respektabilnu,0
magisterijem,0
fragilna,0
prisilnom,0
cajun,1
levamisol,0
stayling,1
ark,1
doznačio,0
temperament,1
pumpkin,1
attention,1
tlocrt,0
undisclosed,1
revolving,1
prekidan,0
clash,1
villa,1
uglačane,0
krsna,0
majority,1
regime,1
auction,1
svratištu,0
delay,1
igračem,0
tenth,1
kapetanice,0
otpaci,0
sume,0
sigunost,0
polling,1
ovjekovječuju,0
such,1
njemačkoga,0
gubicu,0
izgorena,0
međugorske,0
sjedaju,0
anonimus,0
dad,1
zaigranošću,0
pravile,0
award,1
slušno,0
eksterminaciju,0
navršene,0
serviram,0
kupinova,0
fašizmu,0
tjemene,0
spoiler,1
najdiskriminiranije,0
destroyed,1
višestoljetnu,0
bull,1
skinhead,1
forexu,1
predsjednika,0
bulb,1
fifty,1
software,1
socijalom,0
faster,1
zrnat,0
courtroom,1
kupati,0
tortilla,1
deradikalizacije,0
facial,1
innovative,1
regularly,1
vodičko,0
požeško-slavonskog,0
blew,1
makroekonomiji,0
zasnivala,0
karizmatičnoga,0
glazbenih,0
časoslov,0
daljneg,0
gem,1
školarcu,0
pratećem,0
remember,1
zazivanje,0
bye,1
photocall,1
prisluškivanim,0
conservative,1
kucavice,0
bullet,1
thousand,1
cant,1
solid,1
federal,1
kolumni,0
terrorism,1
spindle,1
singer-songwriter,1
dont,1
večernjima,0
prodirali,0
bulldog,1
opteretio,0
nametljiv,0
partners,1
didaktička,0
simplex,1
links,1
crowdsourcing,1
shark,1
guslaru,0
whiskeyem,1
mininalne,0
dometnuvši,0
seem,1
quaterback,1
hope,1
preprojektiran,0
undated,1
umaško,0
dragovoljna,0
below,1
bespravnog,0
sanctions,1
grew,1
konzultiramo,0
modalitetom,0
mamit,0
handle,1
kafkijanskih,0
zataškavanju,0
toxin,1
center,1
phosphorus,1
preteže,0
stubu,0
šlepera,0
selekcionirani,0
ovjenčano,0
shall,1
psychodelic,1
izume,0
charge,1
custom-made,1
dekodiranje,0
temper,1
tabernakula,0
interregnum,1
devastating,1
abdominalnu,0
dopustima,0
tomorrow,1
speeding,1
cupping,1
stylingu,1
short,1
cyberpunka,1
razapetu,0
suspects,1
fragrance,1
quarterfinal,1
aukcijom,0
mahnitosti,0
back-up,1
predsmrtni,0
šugamanom,0
objesila,0
benefits,1
ponosni,0
kazalištarka,0
mockumentary,1
naravnih,0
northern,1
causing,1
manipulatorskih,0
soul,1
shipping,1
factor,1
core,1
gall,1
hungry,1
šuškanje,0
usporite,0
name,1
present,1
nestajali,0
sometimes,1
združiti,0
squasha,1
hokejskim,0
surge,1
naručit,0
courage,1
mikrodermoabrazijom,0
tamnoputom,0
usađivanja,0
virtual,1
melioracija,0
toka,0
guesthouse,1
owners,1
lighthouse,1
kampiranja,0
mappingom,1
nadmorska,0
ličnih,0
plagiranja,0
partyjima,1
kišovito,0
your,1
needs,1
maloljetniku,0
wanna,1
deal,1
bookmark,1
mećavu,0
jack-pot,1
trenirate,0
jean,1
hrvatskima,0
produktivnu,0
karnevalsku,0
novotarije,0
supercharger,1
naputka,0
kin,1
večernjemu,0
ready-made,1
dvotračnim,0
branch,1
natježim,0
krvožilne,0
neprincipijelnog,0
prerezana,0
block,1
maksimirske,0
religious,1
dancing,1
najrelevantnijim,0
sitter,1
husband,1
trendovskim,0
izjedala,0
sitničarenje,0
konstatacijom,0
grit,1
exit,1
priest,1
army,1
kernel,1
drsci,0
bullynga,1
smakoše,0
chance,1
vojko,0
buffet,1
ljevača,0
caprese,0
ovomu,0
rezervirate,0
respektabilni,0
protupješadijsku,0
traffic,1
clean,1
reduction,1
gusaka,0
korčulanska,0
vježbaj,0
wings,1
demistificirali,0
ulaznicu,0
miljenika,0
life,1
trained,1
baždaren,0
ebay,1
suosjećajnosti,0
lyrics,1
non-eu,1
platform,1
phase,1
ponovan,0
zategnutiji,0
taboo,1
scorer,1
matrix,1
pokazivajući,0
apostoli,0
humanity,1
although,1
nulericu,0
webinara,1
fatal,1
gitaristicu,0
web-mjestu,1
naplaćivano,0
nazadnjacima,0
primorskoj,0
birdwatching,1
komercijalizirali,0
leverage,1
obvezujući,0
pick,1
complex,1
slack,1
komanditno,0
stadium,1
madame,1
skimmer,1
unveiling,1
posluživao,0
čušpajzima,0
pobjedivi,0
neonatologija,0
grofom,0
ingredients,1
capitalism,1
prison,1
judge,1
veličajući,0
prepared,1
publicly,1
agitator,1
pozabavili,0
ozbiljne,0
northeastern,1
pora,0
brvnara,0
džabe,0
screening,1
sudden,1
pojilice,0
interior,1
boxing,1
jednomotorni,0
zakrvio,0
spačkom,0
westernu,1
computer,1
followere,1
electric,1
tehnološkoj,0
zaljuljalo,0
trendy,1
running,1
napaja,0
ghost,1
convoy,1
realityjima,1
egzistirale,0
matter,1
journal,1
djetinje,0
trucks,1
assist,1
their,1
dobrodušne,0
option,1
maslom,0
leže,0
hrskaviji,0
excited,1
sidnejskoj,0
fiber,1
preacher,1
predistrazi,0
hell,1
revival,1
flare,1
zacaklile,0
raid,1
torakalna,0
pušač,0
postavljenoj,0
oganj,0
supreme,1
fantasyja,1
trouble,1
oversized,1
qwerty,1
daddy,1
suhoj,0
ponajveće,0
najposlušnijih,0
smrtima,0
threatening,1
participate,1
histološke,0
amuse,1
raspoloženoj,0
win,1
zapetljanom,0
izrast,0
dirigentske,0
poslovnik,0
istodobnoj,0
poskupio,0
krilom,0
iseljeno,0
launcher,1
dough,1
mental,1
negiraju,0
split,1
gender,1
calm,1
hardware,1
blink,1
fingerstyle,1
filled,1
guys,1
savskog,0
izviđali,0
essay,1
jugom,0
sigurnosno-obavještajnih,0
aim,1
polagale,0
trophy,1
excellence,1
advance,1
dash,1
pjevice,0
funkyja,1
struggling,1
party,1
sačinjavanje,0
wanted,1
sklono,0
radit,0
demonstrirat,0
ispruženim,0
brodarskoj,0
league,1
nacista,0
logorskim,0
banner,1
slabiti,0
viskoziteta,0
dalekoistočne,0
slamala,0
libra,1
exceed,1
sterling,1
dental,1
anyone,1
chosen,1
ugurani,0
venu,0
ugušena,0
bojali,0
emerald,1
merry,1
premrežile,0
toškove,0
slopestyle,1
bun,1
pobjedimo,0
neracionalnosti,0
cooper,1
internal,1
efficiency,1
watching,1
ovješenih,0
aspect,1
dokumentaristi,0
sočnim,0
sumerskim,0
zgrabiti,0
frizz,1
shield,1
ubodena,0
cvilio,0
cayenne,1
cop,1
rastakanje,0
showbusinessu,1
questions,1
brothers,1
predavanja,0
ujednačavanjem,0
svrgnuće,0
novice,1
kupljenoga,0
spaghetti,1
culture,1
stability,1
developed,1
freezing,1
prešutivši,0
important,1
cijanovodika,0
boeing,1
žilava,0
automatic,1
razbijanjem,0
tea,1
apartheid,1
wright,1
math,1
deseterokatnice,0
naštimavaju,0
mainly,1
beast,1
declared,1
bronzer,1
aporije,0
antropologa,0
sold,1
ukomponirana,0
najposjećenijim,0
klempavi,0
aperkata,0
vortex,1
exchange,1
newly,1
brass,1
breakfast,1
pacifističkom,0
dead,1
commitment,1
choose,1
ljigavu,0
požutjeti,0
antioksidativnom,0
billion,1
beginning,1
osnaživala,0
izuzet,0
integrator,1
koincidencija,0
sinjskome,0
twinning,1
opuškom,0
seized,1
pokazne,0
bell,1
sleeping,1
downloading,1
zapisujte,0
uhodi,0
delighted,1
ultraortodoksne,0
podrijetlo,0
random,1
clinic,1
sklopljen,0
gentleman,1
prevention,1
prevodioca,0
neojugoslavena,0
kreditoru,0
sombre,1
pustinji,0
pustinjski,0
homogeniziranja,0
posted,1
plućno,0
glass,1
beauty,1
zatupnik,0
two,1
snishodljivošću,0
monster,1
nedužnu,0
južnoeuropskih,0
seks-bombe,0
promotion,1
fee,1
potprojekata,0
preglasati,0
natočim,0
petominutna,0
effort,1
tractor,1
namijenjena,0
storyboard,1
colour,1
performance,1
zadovoljavajućim,0
footage,1
yuh,1
mljekarstva,0
analiziralo,0
featherweight,1
iskažimo,0
koljački,0
raketama,0
coop,1
općehrvatski,0
aktivistkinja,0
bučina,0
different,1
bacačem,0
kosher,1
prekrasna,0
plićaku,0
priželjkivana,0
isplativo,0
playere,1
cyberbullinga,1
curile,0
exposed,1
showbusinessa,1
self,1
action,1
vandalima,0
kijevskih,0
incognita,1
pet-friendly,1
saxofonu,1
corporate,1
bešćutnima,0
trading,1
eight,1
half,1
lets,1
prouzročio,0
you,1
žuto,0
mannequin,1
afterparty,1
uvevši,0
eat,1
currently,1
opozicijskih,0
poludesno,0
utonite,0
mosque,1
injured,1
ravnopravnijem,0
poruge,0
residential,1
warranty,1
pie,1
sprječavate,0
birokratska,0
zaoštrimo,0
preimenovanja,0
macabre,1
whirlpoolom,1
kanaliziranja,0
plasma,1
library,1
spend,1
nutricionističke,0
devesetih,0
teach,1
wire,1
uspravnog,0
govern,1
copy-paste,1
bjelačko,0
docentica,0
certain,1
dock,1
ice,1
pripravničkog,0
coupe,1
kvotni,0
around,1
prvensta,0
češljanja,0
buyers,1
relative,1
barometra,0
agile,1
diver,1
hammock,1
proricanjem,0
fingirati,0
timer,1
zastajati,0
dinamični,0
otklonjena,0
swim,1
diesel,1
five,1
detailed,1
perfume,1
everyone,1
city-break,1
known,1
ogledavao,0
kvadrantu,0
pneumonia,1
hazarder,1
bitch,1
zaposjeo,0
preticajnoj,0
mamica,0
polučila,0
vučenog,0
noodle,1
bojate,0
spektara,0
kopitari,0
aerobic,1
neprepoznatih,0
vinaigrette,1
prepuštanje,0
grijan,0
twist,1
gating,1
environmental,1
listopadskom,0
remix,1
izdvajam,0
manekenkinu,0
sleeper,1
hot-chicsaviexe,0
implant,1
considerably,1
rakijske,0
letter,1
wear,1
duplirane,0
waves,1
civilizaciju,0
treskanja,0
lutkarica,0
heel,1
follow,1
bank,1
uvidite,0
heading,1
uglađeniji,0
tear,1
potato,1
showmana,1
raznježi,0
izračunava,0
zdrastvenih,0
argumentacijom,0
usrano,0
bujalo,0
river,1
stricom,0
cross,1
taktičko-tehničkih,0
hali,0
traumatizirala,0
računao,0
nadziranih,0
organizer,1
progone,0
nabildano,0
antibiotsko,0
tie-dye,1
bench,1
nakladnički,0
flyboard,1
emulator,1
visokoobrazovna,0
cosplayere,1
backed,1
svrsishodna,0
musician,1
maršalov,0
mamino,0
sakupljala,0
ear,1
psychedelic,1
legao,0
sedamdesetogodišnjaci,0
utjehom,0
triplet,1
nostalgičare,0
dešifrirali,0
obojen,0
upper,1
inicijalnom,0
daily,1
endurance,1
sexy,1
liči,0
fare,1
endokrine,0
najopsežniju,0
being,1
expressed,1
krastavaca,0
beach,1
tour,1
akreditiranima,0
ski,1
proistekle,0
expat,1
trust,1
nestašnim,0
bodybuildere,1
otkotrlja,0
muffinima,1
skipper,1
landing,1
napuhavanju,0
rapsod,0
amid,1
administration,1
razigravači,0
osamostalim,0
rough,1
drift,1
najamnine,0
line,1
dig,1
showovima,1
ping,1
vijeke,0
referatu,0
cider,1
fusion,1
female,1
odliv,0
steering,1
ovčarstvom,0
four-day,1
zaoštrava,0
turns,1
engagement,1
ballot,1
premijerna,0
ironman,1
animirali,0
airport,1
specijalnoj,0
editorial,1
moving,1
treasure,1
backwards,1
raznježene,0
torpediralo,0
kreativnija,0
trench,1
cordon,1
davanjem,0
discover,1
bavarskih,0
gamma,1
usporavao,0
fair-playa,1
prijavnim,0
dar,0
kombiniraju,0
authentic,1
social,1
been,1
advanced,1
košarkaškima,0
proigravši,0
bioo,0
tan,1
prikazivane,0
duhanskim,0
eharmony,1
talijansko-hrvatske,0
kućanica,0
guya,1
acoustic,1
trinaestogodišnje,0
custody,1
welcome,1
sec,1
locus,1
pack,1
pelješkoga,0
spectrum,1
win-win,1
tradition,1
webinare,1
twin-turbo,1
score,1
prakticirale,0
šegrti,0
opcijska,0
autoshow,1
brandy,1
hotspots,1
go,1
concrete,1
calls,1
